county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty,Income,IncomePerCap,IncomePerCapErr
Glacier,MT,1598.0,3076.0,4991.0,5630.0,1882.0,3603.0,1003.0,16.0,13677.0,6888.0,6789.0,2.8,31.1,0.3,64.1,0.3,0.1,33.1,29201.0,16737.0,1240.0
Glades,FL,2996.0,1271.0,4355.0,5201.0,3781.0,1384.0,610.0,6.0,13197.0,7479.0,5718.0,20.8,60.7,12.9,3.8,0.4,0.0,18.0,37385.0,20476.0,2119.0
Gladwin,MI,8124.0,3794.0,12472.0,14603.0,9893.0,4524.0,240.0,2.0,25324.0,12719.0,12605.0,1.5,96.2,0.4,0.5,0.5,0.0,20.2,40871.0,23491.0,808.0
Glascock,GA,1235.0,138.0,1390.0,1566.0,1403.0,155.0,52.0,2.0,3027.0,1464.0,1563.0,1.6,87.4,8.8,0.8,0.0,0.0,11.5,45273.0,19815.0,2141.0
Glasscock,TX,553.0,34.0,602.0,653.0,611.0,39.0,13.0,0.0,1420.0,792.0,628.0,40.6,59.4,0.0,0.0,0.0,0.0,11.6,64886.0,32885.0,6824.0
Glenn,CA,3405.0,1766.0,5440.0,10890.0,6854.0,3815.0,685.0,3.0,27935.0,14213.0,13722.0,40.8,52.5,0.8,1.7,2.6,0.3,19.6,46260.0,21029.0,967.0
Gloucester,NJ,66949.0,66355.0,138388.0,168093.0,80700.0,84120.0,5679.0,250.0,291372.0,141589.0,149783.0,5.8,79.1,9.9,0.0,3.0,0.0,7.9,81489.0,36205.0,532.0
Gloucester,VA,13087.0,5399.0,19524.0,22228.0,14875.0,6964.0,357.0,3.0,37035.0,18278.0,18757.0,3.3,85.1,8.2,0.2,0.5,0.0,8.7,63881.0,32271.0,1298.0
Glynn,GA,21482.0,11738.0,34041.0,41984.0,25616.0,15879.0,3792.0,104.0,83467.0,39362.0,44105.0,6.7,63.8,25.7,0.4,1.3,0.0,19.2,47546.0,29209.0,1623.0
Gogebic,MI,4019.0,2925.0,7313.0,8279.0,4600.0,3573.0,462.0,11.0,15577.0,8445.0,7132.0,1.3,89.6,4.2,2.7,0.3,0.1,20.4,36689.0,22297.0,1303.0
Golden Valley,MT,365.0,71.0,471.0,503.0,414.0,78.0,16.0,0.0,747.0,373.0,374.0,8.7,85.7,0.0,0.0,0.0,0.0,18.2,43854.0,25110.0,4441.0
Golden Valley,ND,793.0,99.0,942.0,1026.0,871.0,137.0,121.0,0.0,1892.0,930.0,962.0,1.7,93.9,0.0,0.7,0.0,0.0,9.4,44018.0,28840.0,5120.0
Goliad,TX,2618.0,973.0,3713.0,3978.0,3081.0,872.0,166.0,6.0,7510.0,3778.0,3732.0,35.6,58.6,5.3,0.0,0.2,0.0,16.4,56737.0,30075.0,3418.0
Gonzales,TX,4580.0,1567.0,6304.0,7534.0,5568.0,1894.0,1133.0,20.0,20558.0,10400.0,10158.0,50.1,42.3,6.7,0.1,0.2,0.0,17.2,47516.0,23635.0,1542.0
Goochland,VA,8374.0,4884.0,13930.0,16893.0,9966.0,6685.0,340.0,7.0,22148.0,10897.0,11251.0,2.6,77.6,16.4,0.2,1.2,0.0,5.3,86652.0,47610.0,3325.0
Goodhue,MN,14041.0,9446.0,25538.0,28566.0,16052.0,11805.0,734.0,11.0,46138.0,23014.0,23124.0,3.2,92.4,1.0,1.0,0.5,0.0,10.8,62431.0,33477.0,1330.0
Gooding,ID,3743.0,930.0,5191.0,6050.0,4659.0,1256.0,636.0,9.0,15110.0,7737.0,7373.0,28.8,68.1,0.1,1.1,0.5,0.2,15.9,42626.0,20821.0,1481.0
Gordon,GA,15171.0,3176.0,18850.0,24033.0,19405.0,4384.0,2455.0,47.0,56424.0,27913.0,28511.0,15.4,78.0,3.9,0.0,1.1,0.0,18.8,43452.0,21208.0,1076.0
Goshen,WY,4418.0,924.0,5708.0,6241.0,4878.0,1203.0,184.0,3.0,13479.0,6967.0,6512.0,10.6,86.2,0.1,0.9,0.4,0.0,13.2,48422.0,27253.0,2127.0
Gosper,NE,792.0,165.0,1000.0,1118.0,893.0,215.0,62.0,0.0,2019.0,988.0,1031.0,2.0,96.2,0.0,0.0,0.6,0.0,5.7,61769.0,31901.0,2847.0
