cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Unemployment
527.0,1.0,41855.0,20980.0,20875.0,2.9,93.6,0.1,0.6,0.7,0.1,4.4
4764.0,38.0,110404.0,55082.0,55322.0,12.7,83.6,0.5,0.3,0.8,0.2,3.8
1099.0,36.0,37212.0,18198.0,19014.0,2.3,94.2,0.4,1.1,0.5,0.1,6.1
797.0,9.0,26381.0,13280.0,13101.0,2.5,94.6,0.4,0.1,0.4,0.7,4.4
2171.0,26.0,53638.0,26755.0,26883.0,21.0,74.0,2.1,0.3,1.2,0.0,8.1
1421.0,51.0,63013.0,31211.0,31802.0,2.7,91.6,1.6,0.2,2.6,0.0,3.3
2338.0,25.0,127682.0,63122.0,64560.0,4.1,88.4,3.0,0.1,2.3,0.0,4.9
6443.0,15.0,174589.0,84812.0,89777.0,3.3,79.5,8.5,0.1,4.2,0.1,4.4
170.0,0.0,5357.0,2691.0,2666.0,2.0,96.7,0.5,0.0,0.1,0.1,1.7
408.0,3.0,23236.0,11530.0,11706.0,0.6,97.8,0.8,0.0,0.2,0.0,10.6
2.0,0.0,602.0,309.0,293.0,7.6,92.4,0.0,0.0,0.0,0.0,1.5
418.0,11.0,17955.0,8831.0,9124.0,17.6,78.7,1.4,0.3,0.3,0.0,5.2
4381.0,122.0,125698.0,62214.0,63484.0,6.5,67.6,21.6,0.5,1.5,0.1,5.8
479.0,12.0,33149.0,16421.0,16728.0,1.6,93.0,3.0,0.3,0.9,0.0,3.8
345.0,17.0,6651.0,3478.0,3173.0,2.2,92.0,0.8,2.4,0.3,0.0,3.3
5988.0,88.0,316782.0,159112.0,157670.0,13.8,78.2,0.8,0.2,4.5,0.1,5.2
203.0,1.0,11323.0,5655.0,5668.0,4.6,90.9,0.2,1.3,0.5,0.4,3.8
306.0,3.0,14757.0,7315.0,7442.0,2.5,90.5,3.2,0.7,0.9,0.0,2.2
335.0,1.0,20017.0,9706.0,10311.0,6.7,85.2,7.2,0.0,0.3,0.0,6.9
2040.0,77.0,93635.0,47173.0,46462.0,7.4,64.5,23.9,0.8,1.0,0.0,7.3
148.0,2.0,3226.0,1544.0,1682.0,5.1,92.6,0.1,1.2,0.0,0.0,1.6
280.0,1.0,11200.0,5671.0,5529.0,12.1,82.3,0.6,2.8,0.3,0.3,5.1
0.0,0.0,52182.0,26423.0,25759.0,9.1,87.3,0.5,1.0,0.8,0.1,5.5
743.0,22.0,48486.0,24180.0,24306.0,1.7,93.3,2.4,0.1,0.3,0.0,9.3
78.0,0.0,2049.0,1038.0,1011.0,0.7,95.0,0.5,1.5,0.9,0.0,1.6
491.0,0.0,29773.0,14883.0,14890.0,3.2,85.9,7.1,0.2,0.8,0.0,4.9
75.0,1.0,8330.0,4186.0,4144.0,1.6,96.4,0.0,0.2,0.5,0.0,7.6
1241.0,15.0,26775.0,14754.0,12021.0,3.8,74.5,19.1,0.3,0.6,0.0,7.6
895.0,15.0,61546.0,30348.0,31198.0,1.4,96.1,0.6,0.1,0.6,0.0,5.6
373.0,8.0,10994.0,5262.0,5732.0,14.8,55.9,29.1,0.0,0.0,0.0,9.4
3754.0,24.0,103666.0,50468.0,53198.0,5.8,86.5,4.9,0.1,1.1,0.0,7.2
973.0,11.0,43543.0,22517.0,21026.0,4.5,90.9,2.3,0.3,0.5,0.0,4.6
473.0,13.0,18411.0,9070.0,9341.0,2.1,92.6,3.1,0.1,0.7,0.1,7.8
73.0,0.0,14345.0,7172.0,7173.0,1.0,97.1,0.3,0.1,0.0,0.2,15.3
12501.0,185.0,345995.0,175156.0,170839.0,29.7,49.1,12.9,0.3,6.2,0.0,4.9
7782.0,75.0,214231.0,108478.0,105753.0,25.1,56.7,10.2,0.1,6.0,0.0,4.7
153.0,1.0,13276.0,6675.0,6601.0,0.9,97.0,1.0,0.2,0.2,0.0,11.9
219.0,2.0,19991.0,10028.0,9963.0,1.3,94.7,1.7,0.1,0.4,0.0,9.8
790.0,9.0,24741.0,12195.0,12546.0,1.4,95.3,0.9,0.2,1.1,0.0,3.6
11780.0,375.0,568183.0,277666.0,290517.0,9.7,75.3,9.8,0.3,2.4,0.1,7.6
256.0,5.0,9220.0,4464.0,4756.0,44.2,51.7,0.1,1.7,1.1,0.0,7.1
25.0,1.0,1591.0,796.0,795.0,32.2,60.6,1.7,0.0,0.0,1.0,6.2
558.0,19.0,49028.0,23625.0,25403.0,2.7,92.7,1.3,0.0,2.0,0.0,4.2
92.0,0.0,5755.0,2896.0,2859.0,2.6,94.4,0.1,1.5,0.0,0.0,4.1
55912.0,4996.0,1455846.0,685636.0,770210.0,55.7,9.5,29.4,0.2,3.6,0.0,11.6
249.0,4.0,23067.0,11287.0,11780.0,0.9,95.8,1.7,0.0,0.4,0.2,3.5
1545.0,6.0,33697.0,17153.0,16544.0,2.6,91.0,1.4,1.1,2.9,0.0,3.3
